beta_1,beta_2,t_b,xi,n,givenModel,t_b_estMean,t_b_estVar,selRate_NLL,selRate_AIC,selRate_BIC,"selNum_NLL_Gev(0, 0)","selNum_NLL_Gev(0, 1)","selNum_NLL_Gev(1, 0)","selNum_NLL_Gev(1, 1)","selNum_AIC_Gev(0, 0)","selNum_AIC_Gev(0, 1)","selNum_AIC_Gev(1, 0)","selNum_AIC_Gev(1, 1)","selNum_BIC_Gev(0, 0)","selNum_BIC_Gev(0, 1)","selNum_BIC_Gev(1, 0)","selNum_BIC_Gev(1, 1)"
-1,-4,0.5,0,40,"GEV(1, 1)",0.501425,0.000769364,0.999,0.322,0.182,0,1,0,999,0,678,0,322,0,818,0,182
-1,-4,0.5,-0.1,40,"GEV(1, 1)",0.501775,0.000813288,0.999,0.354,0.196,0,1,0,999,0,646,0,354,0,801,3,196
-1,-4,0.5,-0.2,40,"GEV(1, 1)",0.50115,0.000878306,0.993,0.338,0.193,0,7,0,993,0,662,0,338,0,806,1,193
-1,-4,0.5,0.1,40,"GEV(1, 1)",0.5023,0.000418879,0.999,0.335,0.185,0,1,0,999,0,665,0,335,0,812,3,185
-1,-4,0.5,0.2,40,"GEV(1, 1)",0.503725,0.000688688,1,0.402,0.235,0,0,0,1000,0,598,0,402,0,765,0,235
-1,0,0,0,40,"GEV(1, 0)",NA,NA,0,0.096,0.24,0,2,0,998,110,459,96,335,413,261,240,86
-1,0,0,-0.1,40,"GEV(1, 0)",NA,NA,0,0.081,0.222,0,0,0,1000,129,434,81,356,426,266,222,86
-1,0,0,-0.2,40,"GEV(1, 0)",NA,NA,0,0.076,0.21,0,2,0,998,127,423,76,374,420,266,210,104
-1,0,0,0.1,40,"GEV(1, 0)",NA,NA,0,0.089,0.256,0,0,0,1000,122,431,89,358,378,263,256,103
-1,0,0,0.2,40,"GEV(1, 0)",NA,NA,0,0.09,0.258,0,0,0,1000,81,430,90,399,359,277,258,106
-1,1,0.5,0,40,"GEV(1, 1)",0.49225,0.064370558,1,0.498,0.17,0,0,0,1000,197,287,18,498,623,146,61,170
-1,1,0.5,-0.1,40,"GEV(1, 1)",0.497775,0.062259184,1,0.5,0.141,0,0,0,1000,207,275,18,500,649,157,53,141
-1,1,0.5,-0.2,40,"GEV(1, 1)",0.49805,0.060920868,0.998,0.512,0.169,0,2,0,998,205,264,19,512,639,141,51,169
-1,1,0.5,0.1,40,"GEV(1, 1)",0.4775,0.063992743,1,0.491,0.141,0,0,0,1000,181,307,21,491,624,183,52,141
-1,1,0.5,0.2,40,"GEV(1, 1)",0.47155,0.057438036,1,0.529,0.169,0,0,0,1000,171,277,23,529,578,199,54,169
-1,2,0.5,0,40,"GEV(1, 1)",0.48755,0.019458206,0.999,0.494,0.272,1,0,0,999,5,491,10,494,23,650,55,272
